vendorID;title;description;country;descr_type
1;Distra;;Китай;html
2;"Doc Johnson";"<p>На сегодняшний день Doc Johnson &ndash; это крупнейший производитель товаров для взрослых. Компания, основные производственные мощности которой находятся в Северном Голливуде (USA), выпускает всевозможные секс-игрушки для мужчин, женщин и семейных пар. Дилдо, страпоны, мастурбаторы, эрекционные кольца, кляпы, помпы &ndash; что бы вас ни интересовало, вы обязательно найдёте это среди ассортимента Doc Johnson.</p>  <p>Использование современных материалов, контроль качества, постоянное усовершенствование дизайна &ndash; всё это сделало компанию лидером продаж как в США, так и в России. Особенно любимыми у поклонников марки &laquo;Док Джонсон&raquo; стали трусики с насадкой Harness и вибратор iVibe Rabbit.</p>";США;html
4;"Fun Factory";"<p>Открыть закон всемирного тяготения Ньютону «помогло» упавшее на голову яблоко. Основание компании Fun Factory – следствие обычных кухонных посиделок двух приятелей – Михаэля Паля и Дирка Бауэра. Дружеская беседа о том, о сём, плавное смещение разговора в сторону ассортимента местных секс-шопов, и вот она, идея: почему бы самим не разработать стимуляторы, которые было бы не стыдно покупать?! К тому же, без всяких опасений касательно собственного здоровья из-за их использования.</p>  <p>Так в 1996 году появилась первая секс-игрушка от Fun Factory: нежно-голубой фаллоимитатор среднего размера в форме дельфина. Нестандартный дизайн, нереалистичные формы и мультифункциональность использования (для вагинальной стимуляции или анальных проникновений) сделали Dolphin хитом продаж. </p>  <p>Друзья решили не останавливаться на достигнутом и закрепить успех новыми моделями, коих на сегодняшний день насчитывается более 100. Стоит отметить, что и по прошествии всех лет Dolphin ещё продаётся, только в формате мощного водонепроницаемого вибратора с мягким плавничком для клиторального массажа.</p>  <p>Как и в 1996-м, Михаэль и Дирк придерживаются нескольких принципов при производстве своих игрушек:<br> <li>отдают предпочтение нереалистичным формам, превращая стимуляторы в настоящие произведения искусства;<br> <li>используют исключительно безопасные для здоровья человека материалы: гладкий анодированный пластик без запаха и медицинский силикон – бархатистый на ощупь и не вызывающий аллергических реакций;<br> <li>изготавливают весь ассортимент исключительно в Германии;<br> <li>уделяют особое внимание качеству и дизайну упаковки;<br> <li>предпочитают ручной труд автоматическим процессам: большая часть моделей отливается из силикона вручную, а после застывания извлекается из форм, проверяется на дефекты, обрабатывается на предмет неровных стыков.</p>  <p>Над разработкой, производством и распространением секс-игрушек Fun Factory трудятся чуть больше 120 человек, многие из которых работают в компании с самого основания. Штаб-квартира и производственные цеха «Весёлой фабрики» находятся в немецком Бремене у реки Везер и в общем занимают около 13.000 кв.м. Также в одном из зданий сотрудники основали своеобразный музей Fun Factory: на стендах и внутри стеклянных витрин представлены все когда-либо сошедшие с конвейера завода модели игрушек.</p>  <p>Поклонники бренда ценят стимуляторы Fun Factory за неизменно высокое немецкое качество. Несмотря на открытие в 2003 году представительства Fun Factory в США, все модели производятся только в Бремене. Ежедневно фабрика выпускает от 3.000 до 6.000 единиц – с обязательной надписью «Made in Germany» на упаковке.</p>  <p>Конечно же, продукция Fun Factory не смогла остаться незамеченной устроителями престижных наград:<br> <li>в 2008 году компания - первая в мире среди производителей 18+ - заслужила Reddot Design Award за дизайн вибратора Delight;<br> <li>в 2010 получила iF Product Design Award за целых три продукта: вагинальные шарики Smartballs, вибраторы Delight и Flash;<br> <li>отмечена наградой American Good Design Award-2010 за высокотехнологичный мастурбатор Cobra Libre.</p>  <p>Сегодня ассортимент Fun Factory представлен множеством наименований, среди которых товары для Неё, для Него и для пар. Помимо вибромассажёров, хай-тек пульсаторов, страпонов, фаллоимитаторов, анальных втулок и вагинальных шариков «Весёлая фабрика» выпускает интимные смазки, средства для ухода за игрушками, женские менструальные чаши, а также сумочки для хранения из гигиеничного материала тайвека.</p>";Германия;html
6;Gopaldas;"<p>Хочется приобрести качественную, безопасную для здоровья, но недорогую секс-игрушку? Решение есть, и имя ему Gopaldas (China).</p>  <p>Эта компания предлагает покупателям из России разнообразные товары для взрослых, отличающиеся высоким качеством и стильным дизайном, а именно вибромассажёры, клиторальные стимуляторы, мастурбаторы, эрекционные кольца, анальные втулки и многое другое.</p>  <p>Кроме того, «Гопалдас», основные мощности которого находятся в Китае, является производителем эротического белья из латекса. Некоторые модели представляют собой симбиоз белья и интимной игрушки, например, трусики-страпон для мужчин и трусики-страпон для женщин.</p>  <p>Они способны украсить собой и ваше тело, и сексуальную жизнь!</p>";Китай;html
7;Hustler;;Китай;html
8;Inverma;;Германия;html
10;"Milan Arzneimittel GmbH";;Германия;html
11;Penthouse;;США;html
12;Pipedream;"<p>Компания Pipedream (USA) – один из ведущих игроков рынка товаров для взрослых как в США, так и в мире.</p> <p>Этот американский производитель, известный широким ассортиментом и высоким качеством выпускаемых товаров, разработал немало успешных секс-игрушек. Многие из них, такие как безремневой страпони надувная кушетка с фаллосом, стали настоящими бестселлерами в России.</p> <p>Сегодня «Пайпдрим» - это первоклассные товары для женщин, мужчин и пар: вибраторы, мастурбаторы, дилдо, секс-куклы, БДСМ-аксессуары и многое другое.</p> <p>Среди стимуляторов по приемлемой цене каждый покупатель сможет найти для себя что-нибудь особенное. Такое, что сделает его сексуальную жизнь интереснее и ярче.</p>";США;html
14;"Swedish Erotica";;США;html
15;SoftLine;"<p> 	Бельё и игровые костюмы торговой марки Softline Collection впервые появились в продаже в 2002 году.</p> <p> 	Компании Soft Land (Poland) – крупнейшему европейскому производителю эротического белья – понадобилось всего несколько лет для того, чтобы сделать «Софтлайн Коллекшн» одной из наиболее востребованных марок на рынке Польши, стран ЕС и России.</p> <p> 	Европейское качество изделий, уникальный дизайн, широкий ассортимент (более 1000 моделей), красивая упаковка – всё это обеспечило белью Softline Collection любовь тысяч женщин.</p> <p> 	Приобретая игровой костюм доктора или кружевной комплект Softline, можно быть уверенной – он обязательно сделает вас ультра сексуальной!</p>";Польша;html
16;T.L.C.;;США;html
